Source,Target,inflow,weight
31,9,39,0.0039
32,9,228,0.0228
33,9,1242,0.1242
34,9,4891,0.4891
35,9,217,0.0217
36,9,22790,2.279
37,9,1573,0.1573
38,9,59,0.0059
39,9,1205,0.1205
4,9,579,0.0579
40,9,193,0.0193
41,9,354,0.0354
42,9,3730,0.373
44,9,3212,0.3212
45,9,992,0.0992
46,9,93,0.0093
47,9,642,0.0642
48,9,2318,0.2318
49,9,180,0.018
5,9,204,0.0204
50,9,604,0.0604
51,9,2514,0.2514
53,9,704,0.0704
54,9,90,0.009
55,9,275,0.0275
56,9,75,0.0075
6,9,3813,0.3813
72,9,3338,0.3338
8,9,670,0.067
AFR,9,958,0.0958
ASI,9,9473,0.9473
CAM,9,1075,0.1075
CAR,9,1884,0.1884
EUR,9,4112,0.4112
ISL,9,189,0.0189
NAM,9,814,0.0814
OCE,9,171,0.0171
SAM,9,3290,0.329
1,10,148,0.0148
11,10,276,0.0276
12,10,1057,0.1057
13,10,744,0.0744
15,10,47,0.0047
16,10,6,6e-04
17,10,492,0.0492
18,10,52,0.0052
19,10,16,0.0016
2,10,232,0.0232
20,10,30,0.003
21,10,87,0.0087
22,10,58,0.0058
23,10,165,0.0165
24,10,7600,0.76
25,10,568,0.0568
26,10,162,0.0162
27,10,193,0.0193
28,10,76,0.0076
29,10,240,0.024
30,10,29,0.0029
31,10,40,0.004
32,10,13,0.0013
33,10,109,0.0109
34,10,4492,0.4492
35,10,169,0.0169
36,10,3328,0.3328
37,10,936,0.0936
38,10,113,0.0113
39,10,184,0.0184
4,10,141,0.0141
40,10,142,0.0142
41,10,58,0.0058
42,10,10479,1.0479
44,10,7,7e-04
45,10,409,0.0409
46,10,6,6e-04
47,10,220,0.022
48,10,700,0.07
49,10,14,0.0014
5,10,0,0
50,10,52,0.0052
51,10,1194,0.1194
53,10,207,0.0207
54,10,179,0.0179
55,10,100,0.01
56,10,0,0
6,10,633,0.0633
72,10,193,0.0193
8,10,114,0.0114
9,10,649,0.0649
AFR,10,353,0.0353
ASI,10,2765,0.2765
