a_state_code,a_state_name,b_state_code,b_state_name,inflow,outflow,net_migration
5,Arkansas,15,Hawaii,128,72,56
5,Arkansas,16,Idaho,157,693,-536
5,Arkansas,17,Illinois,2846,1789,1057
5,Arkansas,18,Indiana,880,962,-82
5,Arkansas,19,Iowa,619,916,-297
5,Arkansas,2,Alaska,372,164,208
5,Arkansas,20,Kansas,1466,1406,60
5,Arkansas,21,Kentucky,1011,496,515
5,Arkansas,22,Louisiana,3260,2257,1003
5,Arkansas,23,Maine,14,2,12
5,Arkansas,24,Maryland,500,281,219
5,Arkansas,25,Massachusetts,182,352,-170
5,Arkansas,26,Michigan,990,1339,-349
5,Arkansas,27,Minnesota,463,655,-192
5,Arkansas,28,Mississippi,2983,2045,938
5,Arkansas,29,Missouri,6912,7855,-943
5,Arkansas,30,Montana,253,429,-176
5,Arkansas,31,Nebraska,401,407,-6
5,Arkansas,32,Nevada,506,526,-20
5,Arkansas,33,New Hampshire,79,262,-183
5,Arkansas,34,New Jersey,267,224,43
5,Arkansas,35,New Mexico,399,221,178
5,Arkansas,36,New York,768,714,54
5,Arkansas,37,North Carolina,1257,865,392
5,Arkansas,38,North Dakota,68,127,-59
5,Arkansas,39,Ohio,690,1146,-456
5,Arkansas,4,Arizona,1091,1027,64
5,Arkansas,40,Oklahoma,7161,7411,-250
5,Arkansas,41,Oregon,421,640,-219
5,Arkansas,42,Pennsylvania,831,862,-31
5,Arkansas,44,Rhode Island,10,57,-47
5,Arkansas,45,South Carolina,396,1071,-675
5,Arkansas,46,South Dakota,49,106,-57
5,Arkansas,47,Tennessee,4655,5796,-1141
5,Arkansas,48,Texas,15042,13600,1442
5,Arkansas,49,Utah,610,634,-24
5,Arkansas,50,Vermont,9,4,5
5,Arkansas,51,Virginia,1012,695,317
5,Arkansas,53,Washington,1028,1229,-201
5,Arkansas,54,West Virginia,146,167,-21
5,Arkansas,55,Wisconsin,753,623,130
5,Arkansas,56,Wyoming,107,242,-135
5,Arkansas,6,California,4807,3181,1626
5,Arkansas,72,Puerto Rico,297,48,249
5,Arkansas,8,Colorado,2087,1514,573
5,Arkansas,9,Connecticut,247,204,43
5,Arkansas,AFR,Africa,328,0,0
5,Arkansas,ASI,Asia,3617,0,0
5,Arkansas,CAM,Central America,1680,0,0
5,Arkansas,CAR,Caribbean,438,0,0
5,Arkansas,EUR,Europe,1466,0,0
5,Arkansas,ISL,U.S. Island Areas,74,0,0
5,Arkansas,NAM,Northern America,292,0,0
5,Arkansas,OCE,Oceania and At Sea,222,0,0
5,Arkansas,SAM,South America,1050,0,0
6,California,1,Alabama,5076,4382,694
6,California,10,Delaware,853,633,220
6,California,11,District of Columbia,5003,3862,1141
6,California,12,Florida,25058,26323,-1265
6,California,13,Georgia,10998,14597,-3599
6,California,15,Hawaii,12903,11218,1685
6,California,16,Idaho,5631,14778,-9147
6,California,17,Illinois,23198,16761,6437
6,California,18,Indiana,7049,7337,-288
6,California,19,Iowa,3358,3448,-90
6,California,2,Alaska,5708,2965,2743
6,California,20,Kansas,4712,5838,-1126
6,California,21,Kentucky,3589,4277,-688
6,California,22,Louisiana,4970,4959,11
6,California,23,Maine,1808,1762,46
6,California,24,Maryland,9898,7940,1958
6,California,25,Massachusetts,13716,12082,1634
6,California,26,Michigan,10380,9338,1042
6,California,27,Minnesota,7834,6595,1239
6,California,28,Mississippi,2538,4240,-1702
6,California,29,Missouri,7310,7542,-232
6,California,30,Montana,2340,4665,-2325
6,California,31,Nebraska,2545,3443,-898
6,California,32,Nevada,27177,48617,-21440
6,California,33,New Hampshire,1119,1826,-707
6,California,34,New Jersey,12343,6526,5817
6,California,35,New Mexico,5989,5573,416
6,California,36,New York,35382,23518,11864
6,California,37,North Carolina,12934,18037,-5103
6,California,38,North Dakota,1518,2414,-896
6,California,39,Ohio,9447,10156,-709
6,California,4,Arizona,33080,55513,-22433
6,California,40,Oklahoma,5704,8348,-2644
6,California,41,Oregon,20022,38600,-18578
6,California,42,Pennsylvania,13284,9716,3568
6,California,44,Rhode Island,1791,1889,-98
6,California,45,South Carolina,6187,6618,-431
6,California,46,South Dakota,1247,2503,-1256
6,California,47,Tennessee,6345,9041,-2696
6,California,48,Texas,38439,66399,-27960
6,California,49,Utah,11133,17276,-6143
6,California,5,Arkansas,3181,4807,-1626
6,California,50,Vermont,897,1011,-114
6,California,51,Virginia,15900,17723,-1823
6,California,53,Washington,33411,45354,-11943
6,California,54,West Virginia,702,1225,-523
6,California,55,Wisconsin,6841,5747,1094
6,California,56,Wyoming,1570,2327,-757
6,California,72,Puerto Rico,2333,558,1775
6,California,8,Colorado,20187,26672,-6485
6,California,9,Connecticut,5159,3813,1346
6,California,AFR,Africa,9182,0,0
6,California,ASI,Asia,166607,0,0
6,California,CAM,Central America,57465,0,0
6,California,CAR,Caribbean,2280,0,0
6,California,EUR,Europe,47380,0,0
6,California,ISL,U.S. Island Areas,1919,0,0
6,California,NAM,Northern America,11916,0,0
6,California,OCE,Oceania and At Sea,7087,0,0
6,California,SAM,South America,12183,0,0
8,Colorado,1,Alabama,2341,1661,680
8,Colorado,10,Delaware,279,114,165
8,Colorado,11,District of Columbia,978,609,369
8,Colorado,12,Florida,11048,9250,1798
8,Colorado,13,Georgia,5756,4391,1365
8,Colorado,15,Hawaii,2998,2020,978
8,Colorado,16,Idaho,1986,2543,-557
8,Colorado,17,Illinois,9492,3799,5693
8,Colorado,18,Indiana,2573,2032,541
8,Colorado,19,Iowa,3182,2327,855
8,Colorado,2,Alaska,1778,1775,3
8,Colorado,20,Kansas,5738,4720,1018
8,Colorado,21,Kentucky,1758,1614,144
8,Colorado,22,Louisiana,2858,1875,983
8,Colorado,23,Maine,364,521,-157
8,Colorado,24,Maryland,2864,2203,661
8,Colorado,25,Massachusetts,2163,2403,-240
8,Colorado,26,Michigan,3218,2211,1007
8,Colorado,27,Minnesota,4192,3329,863
8,Colorado,28,Mississippi,1060,703,357
8,Colorado,29,Missouri,5572,4062,1510
8,Colorado,30,Montana,1696,2252,-556
8,Colorado,31,Nebraska,3728,4321,-593
8,Colorado,32,Nevada,3509,3768,-259
8,Colorado,33,New Hampshire,828,589,239
8,Colorado,34,New Jersey,2811,1104,1707
8,Colorado,35,New Mexico,5979,4632,1347
8,Colorado,36,New York,7751,3052,4699
8,Colorado,37,North Carolina,5304,4305,999
8,Colorado,38,North Dakota,1234,988,246
8,Colorado,39,Ohio,4191,3547,644
8,Colorado,4,Arizona,10188,11000,-812
8,Colorado,40,Oklahoma,5272,4001,1271
8,Colorado,41,Oregon,3369,4181,-812
8,Colorado,42,Pennsylvania,4395,2660,1735
8,Colorado,44,Rhode Island,300,280,20
8,Colorado,45,South Carolina,1797,2428,-631
8,Colorado,46,South Dakota,1435,1293,142
8,Colorado,47,Tennessee,2796,1946,850
8,Colorado,48,Texas,22800,20099,2701
8,Colorado,49,Utah,4044,4623,-579
8,Colorado,5,Arkansas,1514,2087,-573
8,Colorado,50,Vermont,657,551,106
8,Colorado,51,Virginia,6668,3753,2915
8,Colorado,53,Washington,6744,7731,-987
8,Colorado,54,West Virginia,368,458,-90
8,Colorado,55,Wisconsin,3758,1946,1812
8,Colorado,56,Wyoming,4196,4746,-550
8,Colorado,6,California,26672,20187,6485
8,Colorado,72,Puerto Rico,449,17,432
8,Colorado,9,Connecticut,1652,670,982
8,Colorado,AFR,Africa,2427,0,0
8,Colorado,ASI,Asia,13664,0,0
8,Colorado,CAM,Central America,5074,0,0
8,Colorado,CAR,Caribbean,625,0,0
8,Colorado,EUR,Europe,7029,0,0
8,Colorado,ISL,U.S. Island Areas,490,0,0
8,Colorado,NAM,Northern America,1229,0,0
8,Colorado,OCE,Oceania and At Sea,1133,0,0
8,Colorado,SAM,South America,1400,0,0
9,Connecticut,1,Alabama,408,650,-242
9,Connecticut,10,Delaware,411,649,-238
9,Connecticut,11,District of Columbia,383,1362,-979
9,Connecticut,12,Florida,6060,12672,-6612
9,Connecticut,13,Georgia,1545,3603,-2058
9,Connecticut,15,Hawaii,449,434,15
9,Connecticut,16,Idaho,11,59,-48
9,Connecticut,17,Illinois,1617,1583,34
9,Connecticut,18,Indiana,468,753,-285
9,Connecticut,19,Iowa,120,173,-53
9,Connecticut,2,Alaska,874,66,808
9,Connecticut,20,Kansas,140,360,-220
9,Connecticut,21,Kentucky,254,373,-119
9,Connecticut,22,Louisiana,270,293,-23
9,Connecticut,23,Maine,870,1811,-941
9,Connecticut,24,Maryland,1417,1396,21
9,Connecticut,25,Massachusetts,8993,10281,-1288
9,Connecticut,26,Michigan,510,1037,-527
9,Connecticut,27,Minnesota,564,539,25
9,Connecticut,28,Mississippi,54,119,-65
9,Connecticut,29,Missouri,711,404,307
9,Connecticut,30,Montana,11,15,-4
9,Connecticut,31,Nebraska,39,253,-214
9,Connecticut,32,Nevada,228,756,-528
9,Connecticut,33,New Hampshire,1242,2448,-1206
9,Connecticut,34,New Jersey,4891,3205,1686
9,Connecticut,35,New Mexico,217,279,-62
9,Connecticut,36,New York,22790,14558,8232
9,Connecticut,37,North Carolina,1573,5684,-4111
9,Connecticut,38,North Dakota,59,66,-7
9,Connecticut,39,Ohio,1205,1577,-372
9,Connecticut,4,Arizona,579,1322,-743
9,Connecticut,40,Oklahoma,193,227,-34
9,Connecticut,41,Oregon,354,609,-255
9,Connecticut,42,Pennsylvania,3730,4902,-1172
9,Connecticut,44,Rhode Island,3212,3284,-72
9,Connecticut,45,South Carolina,992,3557,-2565
9,Connecticut,46,South Dakota,93,7,86
9,Connecticut,47,Tennessee,642,1045,-403
9,Connecticut,48,Texas,2318,2645,-327
9,Connecticut,49,Utah,180,425,-245
9,Connecticut,5,Arkansas,204,247,-43
