a_state_code,a_state_name,b_state_code,b_state_name,inflow,outflow,net_migration
37,North Carolina,SAM,South America,2350,0,0
45,South Carolina,1,Alabama,2408,2071,337
45,South Carolina,10,Delaware,351,409,-58
45,South Carolina,11,District of Columbia,630,576,54
45,South Carolina,12,Florida,14265,12647,1618
45,South Carolina,13,Georgia,15273,15206,67
45,South Carolina,15,Hawaii,691,1237,-546
45,South Carolina,16,Idaho,600,227,373
45,South Carolina,17,Illinois,3342,1530,1812
45,South Carolina,18,Indiana,2487,1295,1192
45,South Carolina,19,Iowa,374,462,-88
45,South Carolina,2,Alaska,618,485,133
45,South Carolina,20,Kansas,872,533,339
45,South Carolina,21,Kentucky,2463,1265,1198
45,South Carolina,22,Louisiana,1574,1076,498
45,South Carolina,23,Maine,1191,339,852
45,South Carolina,24,Maryland,4455,1996,2459
45,South Carolina,25,Massachusetts,2584,1351,1233
45,South Carolina,26,Michigan,3329,2388,941
45,South Carolina,27,Minnesota,964,483,481
45,South Carolina,28,Mississippi,1168,1177,-9
45,South Carolina,29,Missouri,2025,1454,571
45,South Carolina,30,Montana,244,108,136
45,South Carolina,31,Nebraska,299,389,-90
45,South Carolina,32,Nevada,633,977,-344
45,South Carolina,33,New Hampshire,932,144,788
45,South Carolina,34,New Jersey,5357,1558,3799
45,South Carolina,35,New Mexico,520,790,-270
45,South Carolina,36,New York,9951,5435,4516
45,South Carolina,37,North Carolina,29212,26869,2343
45,South Carolina,38,North Dakota,157,264,-107
45,South Carolina,39,Ohio,6390,2528,3862
45,South Carolina,4,Arizona,1887,1263,624
45,South Carolina,40,Oklahoma,1146,1018,128
45,South Carolina,41,Oregon,546,631,-85
45,South Carolina,42,Pennsylvania,7945,3165,4780
45,South Carolina,44,Rhode Island,717,466,251
45,South Carolina,46,South Dakota,274,203,71
45,South Carolina,47,Tennessee,4157,4387,-230
45,South Carolina,48,Texas,7058,6928,130
45,South Carolina,49,Utah,571,969,-398
45,South Carolina,5,Arkansas,1071,396,675
45,South Carolina,50,Vermont,209,83,126
45,South Carolina,51,Virginia,8076,7616,460
45,South Carolina,53,Washington,2241,2516,-275
45,South Carolina,54,West Virginia,1890,982,908
45,South Carolina,55,Wisconsin,1137,742,395
45,South Carolina,56,Wyoming,112,61,51
45,South Carolina,6,California,6618,6187,431
45,South Carolina,72,Puerto Rico,964,126,838
45,South Carolina,8,Colorado,2428,1797,631
45,South Carolina,9,Connecticut,3557,992,2565
45,South Carolina,AFR,Africa,1833,0,0
45,South Carolina,ASI,Asia,7175,0,0
45,South Carolina,CAM,Central America,2770,0,0
45,South Carolina,CAR,Caribbean,930,0,0
45,South Carolina,EUR,Europe,3530,0,0
45,South Carolina,ISL,U.S. Island Areas,325,0,0
45,South Carolina,NAM,Northern America,975,0,0
45,South Carolina,OCE,Oceania and At Sea,239,0,0
45,South Carolina,SAM,South America,753,0,0
47,Tennessee,1,Alabama,8697,8167,530
47,Tennessee,10,Delaware,385,220,165
47,Tennessee,11,District of Columbia,574,655,-81
47,Tennessee,12,Florida,17497,15082,2415
47,Tennessee,13,Georgia,15660,17096,-1436
47,Tennessee,15,Hawaii,738,820,-82
47,Tennessee,16,Idaho,931,688,243
47,Tennessee,17,Illinois,9579,5320,4259
47,Tennessee,18,Indiana,5466,3565,1901
47,Tennessee,19,Iowa,798,1046,-248
47,Tennessee,2,Alaska,1063,385,678
47,Tennessee,20,Kansas,1689,1250,439
47,Tennessee,21,Kentucky,11966,11192,774
47,Tennessee,22,Louisiana,3158,2426,732
47,Tennessee,23,Maine,928,208,720
47,Tennessee,24,Maryland,1826,1438,388
47,Tennessee,25,Massachusetts,2155,773,1382
47,Tennessee,26,Michigan,5476,5056,420
47,Tennessee,27,Minnesota,1616,1426,190
47,Tennessee,28,Mississippi,9307,10436,-1129
47,Tennessee,29,Missouri,3568,3026,542
47,Tennessee,30,Montana,266,98,168
47,Tennessee,31,Nebraska,507,391,116
47,Tennessee,32,Nevada,653,1094,-441
47,Tennessee,33,New Hampshire,248,158,90
47,Tennessee,34,New Jersey,1300,1140,160
47,Tennessee,35,New Mexico,380,670,-290
47,Tennessee,36,New York,4836,2736,2100
47,Tennessee,37,North Carolina,10060,7696,2364
47,Tennessee,38,North Dakota,186,428,-242
47,Tennessee,39,Ohio,5662,5884,-222
47,Tennessee,4,Arizona,2554,2468,86
47,Tennessee,40,Oklahoma,1963,1659,304
47,Tennessee,41,Oregon,797,1029,-232
47,Tennessee,42,Pennsylvania,3105,2835,270
47,Tennessee,44,Rhode Island,250,397,-147
47,Tennessee,45,South Carolina,4387,4157,230
47,Tennessee,46,South Dakota,296,509,-213
47,Tennessee,48,Texas,11439,14342,-2903
47,Tennessee,49,Utah,613,1032,-419
47,Tennessee,5,Arkansas,5796,4655,1141
47,Tennessee,50,Vermont,316,140,176
47,Tennessee,51,Virginia,7832,6556,1276
47,Tennessee,53,Washington,1947,2000,-53
47,Tennessee,54,West Virginia,1238,1132,106
47,Tennessee,55,Wisconsin,1675,1829,-154
47,Tennessee,56,Wyoming,203,193,10
47,Tennessee,6,California,9041,6345,2696
47,Tennessee,72,Puerto Rico,655,198,457
47,Tennessee,8,Colorado,1946,2796,-850
47,Tennessee,9,Connecticut,1045,642,403
47,Tennessee,AFR,Africa,2150,0,0
47,Tennessee,ASI,Asia,10019,0,0
47,Tennessee,CAM,Central America,4480,0,0
47,Tennessee,CAR,Caribbean,889,0,0
47,Tennessee,EUR,Europe,4462,0,0
47,Tennessee,ISL,U.S. Island Areas,308,0,0
47,Tennessee,NAM,Northern America,901,0,0
47,Tennessee,OCE,Oceania and At Sea,584,0,0
47,Tennessee,SAM,South America,1069,0,0
48,Texas,1,Alabama,7839,6687,1152
48,Texas,10,Delaware,1219,700,519
48,Texas,11,District of Columbia,1425,1850,-425
48,Texas,12,Florida,33704,28428,5276
48,Texas,13,Georgia,18746,17187,1559
48,Texas,15,Hawaii,4807,4387,420
